date,sku_name,product_id,product_type,merchant_city,price,stock,total_sold
03/11/2020,HUAWEI NOVA 5T RAM 8GB INTERNAL 128GB,E1,Huawei nova 5T,Kota Kediri,4500000,1,74
3/26/2020,Huawei Nova 5T (8GB/128GB) - Crush Green,F1,Huawei nova 5T,Kota Administrasi Jakarta Utara,4999000,5,2
3/23/2020,HUAWEI NOVA 5T RAM 8/128 GARANSI RESMI HUAWEI INDONESIA - Biru,F2,Huawei nova 5T,Kota Administrasi Jakarta Barat,4589900,16,19
4/29/2020,HUAWEI NOVA 5T RAM 8/128GB GARANSI RESMI HUAWEI INDONESIA TERMURAH - Ungu,E2,Huawei nova 5T,Kota Surabaya,4698500,5,63
4/15/2020,nokia 3310 reborn,C1,Nokia 1,Kab. Bangkalan,1000000,999999,82
4/24/2020,NOKIA 2720 FLIP 2019 NEW - 100% ORI NOKIA - BNIB,F3,Nokia 1,Kota Batam,1510000,80,169
4/19/2020,nokia 105,C2,Nokia 1,Kab. Nganjuk,720000,999999,24
4/28/2020,Hp Nokia X1,C3,Nokia 1,Kota Semarang,4015000,999999,21
04/08/2020,NOKIA 2720 FLIP 2019 NEW - 100% ORI NOKIA - BNIB,F3,Nokia 1,Kota Batam,1510000,82,172
4/23/2020,OPPO A7 RAM 4/64 GARANSI RESMI OPPO INDONESIA,E3,Oppo A7,Kota Administrasi Jakarta Utara,2100000,999952,87
4/21/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,Oppo A7,Kota Tangerang Selatan,2050000,999999,123
4/25/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,Oppo A7,Kota Tangerang Selatan,2050000,999999,123
4/18/2020,OPPO A7 RAM 4/64 GARANSI RESMI OPPO INDONESIA,E3,Oppo A7,Kota Administrasi Jakarta Utara,2100000,999952,87
4/13/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,Oppo A7,Kota Tangerang Selatan,2050000,999999,123
04/12/2020,Oppo A7 Ram 4/64 Gb Garansi Resmi Oppo,D1,Oppo A7,Kota Tangerang Selatan,2050000,9956,284
4/23/2020,Oppo A7 Ram 4/64 Gb Garansi Resmi Oppo,D1,Oppo A7,Kota Tangerang Selatan,2050000,9950,284
4/23/2020,OPPO A7 RAM 3/64GB GARANSI RESMI OPPO INDONESIA,D2,Oppo A7,Kota Administrasi Jakarta Utara,2499000,999951,78
4/22/2020,Oppo A7 Ram 4/64Gb Garansi Resmi - Gold,E4,Oppo A7,Kota Tangerang Selatan,2050000,999999,123
04/11/2020,Oppo A7 Ram 4/64 Gb Garansi Resmi Oppo,D1,Oppo A7,Kota Tangerang Selatan,2050000,9956,284
4/13/2020,Oppo A7 Ram 4/64 Gb Garansi Resmi Oppo,D1,Oppo A7,Kota Tangerang Selatan,2050000,9956,284
04/10/2020,OPPO A7 RAM 4/64 GARANSI RESMI OPPO INDONESIA - Emas,C4,Oppo A7,Kota Administrasi Jakarta Barat,2049900,84,625
4/21/2020,nokia 3310 reborn,C1,Nokia 1,Kab. Bangkalan,1000000,999999,82
4/21/2020,oppo A9 2020 ram 8/128gb garansi resmi,E5,Oppo A9,Kota Administrasi Jakarta Utara,4100000,999959,45
04/11/2020,OPPO A9 2020,E6,Oppo A9,Kota Administrasi Jakarta Timur,3999000,9962,48
4/25/2020,oppo A9 2020 ram 8/128gb garansi resmi,E5,Oppo A9,Kota Administrasi Jakarta Utara,4100000,999959,45
4/26/2020,OPPO A9 2020 8/128GB GARANSI RESMI OPPO 1 TAHUN 8/128 GB - BONUS SATU,F4,Oppo A9,Kota Administrasi Jakarta Barat,3430000,5,271
4/29/2020,[NEW] Oppo A9 2020 8/128 GB Garansi Resmi RAM 8GB Internal 128GB,E7,Oppo A9,Kota Administrasi Jakarta Barat,3575000,840,261
4/16/2020,OPPO A9 2020 RAM 8/128GB GARANSI RESMI,E8,Oppo A9,Kota Tangerang Selatan,3199000,999752,333
4/26/2020,OPPO A9 2020 RAM 8/128GB GARANSI RESMI,E8,Oppo A9,Kota Tangerang Selatan,3150000,999749,345
4/19/2020,[NEW] Oppo A9 2020 8/128 GB Garansi Resmi RAM 8GB Internal 128GB,E7,Oppo A9,Kota Administrasi Jakarta Barat,3575000,840,261
4/25/2020,hp Oppo a9 2020,F5,Oppo A9,Kota Administrasi Jakarta Barat,4000000,9925,75
04/07/2020,[NEW] Oppo A9 2020 8/128 GB Garansi Resmi RAM 8GB Internal 128GB,E7,Oppo A9,Kota Administrasi Jakarta Barat,3575000,840,260
04/05/2020,[NEW] Oppo A9 2020 8/128 GB Garansi Resmi RAM 8GB Internal 128GB,E7,Oppo A9,Kota Administrasi Jakarta Barat,3575000,840,273
4/27/2020,Oppo A9 2020 ram 8/128 original - Hijau,E9,Oppo A9,Kota Pekanbaru,3990100,9993,26
4/24/2020,OPPO A9 2020 8/128GB GARANSI RESMI OPPO 1 TAHUN 8/128 GB - BONUS SATU,F4,Oppo A9,Kota Administrasi Jakarta Barat,3435000,5,271
04/09/2020,oppo A9 2020 ram 8/128gb garansi resmi,E5,Oppo A9,Kota Administrasi Jakarta Utara,4100000,999959,45
4/20/2020,oppo A9 2020 ram 8/128gb garansi resmi,E5,Oppo A9,Kota Administrasi Jakarta Utara,4100000,999959,45
4/22/2020,OPPO A9 2020 8/128GB GARANSI RESMI OPPO 1 TAHUN 8/128 GB - BONUS SATU,F4,Oppo A9,Kota Administrasi Jakarta Barat,3435000,5,271
